user_id,month,Calls Made,Minutes Spent,Mb Used,Messages Sent,plan
1000,December,16.0,124.0,1901.47,11.0,ultimate
1001,August,27.0,182.0,6919.150000000001,30.0,surf
1001,December,56.0,412.0,19369.179999999993,44.0,surf
1001,November,64.0,426.0,18504.299999999996,36.0,surf
1001,October,65.0,393.0,22330.49,53.0,surf
1001,September,49.0,315.0,13314.819999999996,44.0,surf
1002,December,47.0,384.0,14396.239999999998,41.0,surf
1002,November,55.0,386.0,19345.079999999994,32.0,surf
1002,October,11.0,59.0,6552.01,15.0,surf
1003,December,149.0,1104.0,27044.14,50.0,surf
1004,August,49.0,354.0,27981.740000000005,25.0,surf
1004,December,50.0,427.0,21389.289999999997,31.0,surf
1004,July,49.0,381.0,24516.61999999999,26.0,surf
1004,June,44.0,275.0,20672.820000000003,18.0,surf
1004,May,21.0,193.0,6547.210000000001,7.0,surf
1004,November,54.0,476.0,21850.78,25.0,surf
1004,October,61.0,365.0,14541.630000000001,24.0,surf
1004,September,42.0,301.0,18852.72,21.0,surf
1005,December,59.0,496.0,17140.169999999995,11.0,surf
1006,December,9.0,59.0,32118.82000000001,139.0,ultimate
1006,November,2.0,10.0,2068.37,15.0,ultimate
1007,August,70.0,456.0,24439.88,51.0,surf
1007,December,87.0,617.0,29069.279999999995,50.0,surf
1007,November,80.0,524.0,24333.999999999996,48.0,surf
1007,October,80.0,645.0,37885.630000000005,59.0,surf
1007,September,63.0,399.0,28123.950000000004,47.0,surf
1008,December,85.0,634.0,14689.33,26.0,ultimate
1008,November,63.0,446.0,23676.719999999994,37.0,ultimate
1008,October,71.0,476.0,17106.99,21.0,ultimate
1009,August,109.0,731.0,24557.52,,surf
1009,December,107.0,756.0,23922.6,,surf
1009,July,124.0,880.0,30421.65000000001,,surf
1009,June,110.0,823.0,18845.9,,surf
1009,May,71.0,534.0,20389.399999999998,,surf
1009,November,105.0,714.0,25473.430000000004,,surf
1009,October,114.0,740.0,22664.839999999993,,surf
1009,September,116.0,776.0,20962.4,,surf
1010,April,90.0,656.0,19722.34,,surf
1010,August,93.0,637.0,19811.840000000004,,surf
1010,July,101.0,698.0,12663.11,,surf
1010,June,77.0,553.0,16829.309999999998,,surf
1010,March,63.0,429.0,10690.020000000002,,surf
1010,May,81.0,532.0,15888.520000000002,,surf
1010,November,30.0,258.0,7985.59,,surf
1010,October,95.0,711.0,16937.78,,surf
1010,September,83.0,601.0,16813.730000000007,,surf
1011,August,61.0,486.0,21099.37,54.0,ultimate
1011,December,56.0,311.0,19630.629999999997,61.0,ultimate
1011,July,63.0,499.0,21046.410000000003,53.0,ultimate
1011,June,19.0,118.0,6685.11,21.0,ultimate
1011,November,65.0,505.0,22102.969999999994,58.0,ultimate
1011,October,76.0,504.0,24575.650000000012,64.0,ultimate
1011,September,73.0,484.0,16638.46,60.0,ultimate
1012,December,16.0,78.0,11876.94,,surf
1012,November,10.0,75.0,13935.03,,surf
1013,December,35.0,219.0,20113.92,16.0,ultimate
1014,December,150.0,1114.0,7792.410000000001,64.0,surf
1014,November,28.0,163.0,1175.59,9.0,surf
1015,December,16.0,96.0,17495.12,68.0,surf
1016,December,109.0,837.0,28188.010000000006,38.0,surf
1016,November,94.0,649.0,27501.329999999998,46.0,surf
1016,October,25.0,173.0,3669.91,11.0,surf
1017,August,8.0,59.0,2128.53,5.0,surf
1017,December,70.0,476.0,21136.580000000005,42.0,surf
1017,November,61.0,384.0,19093.04,29.0,surf
1017,October,68.0,400.0,28478.249999999993,35.0,surf
1017,September,59.0,362.0,24478.92,41.0,surf
1018,December,71.0,476.0,17390.55,8.0,surf
1018,November,86.0,636.0,15266.53,5.0,surf
1018,October,25.0,184.0,8722.349999999999,3.0,surf
1019,December,59.0,467.0,28127.77000000001,128.0,surf
1019,November,7.0,44.0,3012.91,24.0,surf
1020,December,70.0,500.0,19749.079999999998,3.0,surf
1020,November,55.0,430.0,12000.339999999997,1.0,surf
1021,December,52.0,401.0,6084.63,,surf
1022,August,80.0,631.0,21325.33,,surf
1022,December,82.0,585.0,18283.62,,surf
1022,July,70.0,475.0,9933.149999999998,,surf
1022,June,76.0,490.0,23436.479999999996,,surf
1022,May,39.0,302.0,4908.08,,surf
1022,November,72.0,498.0,22204.480000000003,,surf
1022,October,83.0,574.0,18961.410000000003,,surf
1022,September,66.0,510.0,14118.229999999998,,surf
1023,August,11.0,72.0,9991.79,6.0,surf
1023,July,7.0,43.0,9096.97,5.0,surf
1024,December,80.0,564.0,10807.369999999999,,surf
1026,August,34.0,194.0,8402.11,13.0,ultimate
1026,July,23.0,163.0,4822.349999999999,9.0,ultimate
1027,August,49.0,361.0,20351.100000000002,13.0,surf
1027,December,48.0,293.0,14411.529999999997,13.0,surf
1027,July,46.0,347.0,11516.06,18.0,surf
1027,November,52.0,400.0,15839.84,10.0,surf
1027,October,58.0,417.0,12901.15,12.0,surf
1027,September,53.0,325.0,17075.760000000002,12.0,surf
1028,April,7.0,53.0,37761.59,77.0,ultimate
1028,August,9.0,76.0,40388.21000000001,74.0,ultimate
1028,December,6.0,43.0,37603.259999999995,74.0,ultimate
1028,February,,,12591.91,12.0,ultimate
1028,July,6.0,53.0,38826.69999999999,85.0,ultimate
1028,June,11.0,49.0,37907.14,66.0,ultimate
1028,March,6.0,39.0,36061.040000000015,66.0,ultimate
1028,May,8.0,67.0,32907.83,84.0,ultimate
1028,November,8.0,69.0,42952.590000000004,77.0,ultimate
1028,October,6.0,39.0,46595.32999999999,73.0,ultimate
1028,September,6.0,37.0,26563.749999999993,68.0,ultimate
1029,August,7.0,43.0,618.95,2.0,surf
1029,December,87.0,632.0,21046.140000000003,11.0,surf
